OrderID,OrderDate,Region,Country,CustomerID,Segment,ProductCategory,Product,Quantity,UnitPrice,Sales,Cost,Profit
ORD000001,2023-05-17,North America,USA,CUST9935,Consumer,Office Supplies,Stapler,8,353.15,2825.2,1513.95,1311.25
ORD000002,2022-07-11,Australia,Australia,CUST4257,Home Office,Electronics,Laptop,7,585.49,4098.43,2912.78,1185.65
ORD000003,2023-07-24,Australia,Australia,CUST7924,Corporate,Electronics,Monitor,1,1898.22,1898.22,1055.18,843.04
ORD000004,2022-07-29,Asia,China,CUST6635,Home Office,Electronics,Headphones,3,952.92,2858.76,1788.56,1070.2
ORD000005,2022-09-13,Asia,India,CUST6925,Home Office,Office Supplies,Paper,13,201.61,2620.93,1579.4,1041.53
ORD000006,2023-08-16,Europe,UK,CUST7227,Corporate,Electronics,Smartphone,3,2139.02,6417.06,5154.63,1262.43
ORD000007,2024-01-29,South America,Chile,CUST2169,Home Office,Furniture,Chair,12,527.72,6332.64,3758.06,2574.58
ORD000008,2024-02-17,Europe,Germany,CUST4598,Home Office,Electronics,Monitor,9,2473.86,22264.74,16119.67,6145.07
ORD000009,2023-10-09,Asia,India,CUST6155,Consumer,Electronics,Laptop,13,673.01,8749.13,5020.64,3728.49
ORD000010,2022-10-20,South America,Argentina,CUST9830,Corporate,Office Supplies,Paper,9,353.38,3180.42,2419.49,760.93
ORD000011,2024-01-12,Australia,Australia,CUST9085,Consumer,Office Supplies,Paper,8,2493.33,19946.64,10939.06,9007.58
ORD000012,2024-05-14,North America,USA,CUST8668,Home Office,Electronics,Smartphone,20,163.5,3270.0,2071.76,1198.24
ORD000013,2023-07-01,Asia,India,CUST8433,Consumer,Office Supplies,Pen,11,283.32,3116.52,2032.49,1084.03
ORD000014,2023-09-04,Asia,China,CUST3646,Home Office,Office Supplies,Pen,17,1524.38,25914.46,14343.49,11570.97
ORD000015,2024-09-27,Australia,Australia,CUST6038,Consumer,Office Supplies,Stapler,1,284.11,284.11,178.15,105.96
ORD000016,2022-06-25,North America,USA,CUST9727,Consumer,Office Supplies,Pen,16,2040.98,32655.68,27505.7,5149.98
ORD000017,2023-06-27,Europe,Spain,CUST4470,Home Office,Office Supplies,Notebook,17,2181.72,37089.24,24037.47,13051.77
ORD000018,2024-06-16,Europe,France,CUST2049,Corporate,Furniture,Cabinet,17,1131.46,19234.82,11286.36,7948.46
ORD000019,2023-03-28,North America,Mexico,CUST4750,Consumer,Office Supplies,Notebook,1,182.13,182.13,131.29,50.84
ORD000020,2023-07-25,North America,Canada,CUST8744,Consumer,Electronics,Smartphone,16,539.52,8632.32,4715.92,3916.4
ORD000021,2022-07-18,South America,Argentina,CUST1887,Home Office,Electronics,Laptop,14,888.97,12445.58,8013.53,4432.05
ORD000022,2022-08-12,North America,USA,CUST3296,Corporate,Furniture,Cabinet,8,483.02,3864.16,2657.38,1206.78
ORD000023,2022-06-04,Europe,France,CUST2604,Consumer,Furniture,Chair,15,2021.02,30315.3,24239.76,6075.54
ORD000024,2022-12-07,Australia,Australia,CUST7570,Consumer,Electronics,Smartphone,14,1216.67,17033.38,9790.98,7242.4
ORD000025,2023-06-28,Europe,Spain,CUST8973,Consumer,Electronics,Monitor,15,716.7,10750.5,7996.3,2754.2
ORD000026,2022-05-05,Europe,France,CUST9238,Home Office,Electronics,Laptop,11,147.63,1623.93,1144.0,479.93
ORD000027,2023-01-16,Europe,UK,CUST4853,Corporate,Office Supplies,Pen,3,1489.61,4468.83,3290.51,1178.32
ORD000028,2022-06-17,North America,Mexico,CUST6183,Corporate,Electronics,Laptop,14,1645.15,23032.1,16072.48,6959.62
ORD000029,2024-03-21,Europe,France,CUST6180,Consumer,Electronics,Headphones,5,1680.87,8404.35,5084.62,3319.73
ORD000030,2022-05-31,North America,Canada,CUST6718,Consumer,Office Supplies,Pen,18,536.82,9662.76,5728.28,3934.48
ORD000031,2024-06-16,Europe,France,CUST9666,Consumer,Furniture,Chair,18,1760.33,31685.94,22626.52,9059.42
ORD000032,2022-10-03,Australia,Australia,CUST3546,Corporate,Office Supplies,Pen,9,292.99,2636.91,1417.24,1219.67
ORD000033,2023-02-21,Asia,China,CUST1832,Consumer,Office Supplies,Stapler,9,1266.0,11394.0,6698.45,4695.55
ORD000034,2023-11-15,South America,Argentina,CUST8239,Home Office,Electronics,Laptop,5,1594.6,7973.0,4717.5,3255.5
ORD000035,2022-06-04,South America,Chile,CUST3426,Corporate,Electronics,Laptop,5,1366.25,6831.25,5411.09,1420.16
ORD000036,2022-03-23,Europe,UK,CUST2684,Corporate,Furniture,Cabinet,12,529.14,6349.68,3729.39,2620.29
ORD000037,2023-04-30,Australia,Australia,CUST7755,Consumer,Office Supplies,Notebook,6,2440.63,14643.78,11477.36,3166.42
ORD000038,2023-07-01,Europe,France,CUST1634,Corporate,Furniture,Chair,6,1969.5,11817.0,6355.58,5461.42
ORD000039,2023-09-18,Europe,Germany,CUST7528,Corporate,Furniture,Cabinet,8,561.19,4489.52,3281.89,1207.63
ORD000040,2024-11-09,Asia,India,CUST6425,Consumer,Furniture,Cabinet,13,1700.4,22105.2,17579.85,4525.35
ORD000041,2022-03-20,North America,Canada,CUST6139,Corporate,Electronics,Headphones,4,1493.45,5973.8,3709.67,2264.13
ORD000042,2023-06-06,Australia,Australia,CUST9821,Home Office,Furniture,Chair,2,1773.42,3546.84,1775.52,1771.32
ORD000043,2023-11-08,Europe,France,CUST5920,Home Office,Furniture,Desk,20,788.22,15764.4,12561.16,3203.24
ORD000044,2023-08-29,Asia,Singapore,CUST7211,Home Office,Furniture,Table,18,322.58,5806.44,3757.67,2048.77
ORD000045,2023-09-15,Europe,France,CUST6279,Corporate,Furniture,Desk,10,529.41,5294.1,4103.01,1191.09
ORD000046,2024-11-12,South America,Argentina,CUST3780,Home Office,Office Supplies,Notebook,16,1985.37,31765.92,26554.44,5211.48
ORD000047,2022-07-11,North America,Canada,CUST4262,Consumer,Office Supplies,Stapler,8,1683.63,13469.04,7793.51,5675.53
